dataset,size,algorithm,avg_time_us,avg_symbol_operations
reversed,1100,msd_radix_sort_with_quick_sort,17.6,3823.2
reversed,1200,quick_sort,114.8,161186
reversed,1200,merge_sort,375.6,9414
reversed,1200,string_quick_sort,26.6,9825.4
reversed,1200,string_merge_sort,324,9414
reversed,1200,msd_radix_sort,38.6,2640.6
reversed,1200,msd_radix_sort_with_quick_sort,18.4,4271
reversed,1300,quick_sort,128.8,182635
reversed,1300,merge_sort,417.4,10443.2
reversed,1300,string_quick_sort,28.6,10884.8
reversed,1300,string_merge_sort,365,10443.2
reversed,1300,msd_radix_sort,41.8,2866
reversed,1300,msd_radix_sort_with_quick_sort,20,4747.4
reversed,1400,quick_sort,148.4,203466
reversed,1400,merge_sort,454.4,11450.4
reversed,1400,string_quick_sort,31.8,11778.8
reversed,1400,string_merge_sort,406.8,11450.4
reversed,1400,msd_radix_sort,45.6,3113.8
reversed,1400,msd_radix_sort_with_quick_sort,22.2,5226.8
reversed,1500,quick_sort,157,225147
reversed,1500,merge_sort,486.4,12348.6
reversed,1500,string_quick_sort,36.6,12814
reversed,1500,string_merge_sort,424.4,12348.6
reversed,1500,msd_radix_sort,49,3361.4
reversed,1500,msd_radix_sort_with_quick_sort,24.8,5721
reversed,1600,quick_sort,164.2,233478
reversed,1600,merge_sort,524.4,13329
reversed,1600,string_quick_sort,37.2,13887.4
reversed,1600,string_merge_sort,470.6,13329
reversed,1600,msd_radix_sort,53.2,3611
reversed,1600,msd_radix_sort_with_quick_sort,26.2,6230.2
reversed,1700,quick_sort,165.2,233915
reversed,1700,merge_sort,556,14333.2
reversed,1700,string_quick_sort,41.2,14833.8
reversed,1700,string_merge_sort,497.6,14333.2
reversed,1700,msd_radix_sort,62.8,3872.6
reversed,1700,msd_radix_sort_with_quick_sort,28.8,6740.6
reversed,1800,quick_sort,167.6,238052
reversed,1800,merge_sort,596.4,15082.4
reversed,1800,string_quick_sort,44.4,15953.6
reversed,1800,string_merge_sort,542,15082.4
reversed,1800,msd_radix_sort,61,4110.4
reversed,1800,msd_radix_sort_with_quick_sort,30.8,7281.4
reversed,1900,quick_sort,166.4,239485
reversed,1900,merge_sort,621,15975
reversed,1900,string_quick_sort,46.6,16937.2
reversed,1900,string_merge_sort,562.4,15975
reversed,1900,msd_radix_sort,66.4,4377.8
reversed,1900,msd_radix_sort_with_quick_sort,32.2,7774.8
reversed,2000,quick_sort,173.2,239443
reversed,2000,merge_sort,655.8,16604.8
reversed,2000,string_quick_sort,53.6,18010
reversed,2000,string_merge_sort,603.4,16604.8
reversed,2000,msd_radix_sort,71.4,4620.6
reversed,2000,msd_radix_sort_with_quick_sort,34.6,8337
reversed,2100,quick_sort,182.8,255007
reversed,2100,merge_sort,702.2,17735.8
reversed,2100,string_quick_sort,52,19099.6
reversed,2100,string_merge_sort,648.4,17735.8
reversed,2100,msd_radix_sort,74.8,4865.2
reversed,2100,msd_radix_sort_with_quick_sort,40,8882
reversed,2200,quick_sort,195.2,275870
reversed,2200,merge_sort,747,19135.2
reversed,2200,string_quick_sort,54.8,20187.6
reversed,2200,string_merge_sort,670,19135.2
reversed,2200,msd_radix_sort,80.8,5139.4
reversed,2200,msd_radix_sort_with_quick_sort,39,9437.4
reversed,2300,quick_sort,209.4,298890
reversed,2300,merge_sort,789.4,20361.6
reversed,2300,string_quick_sort,57,21188.6
reversed,2300,string_merge_sort,706.6,20361.6
reversed,2300,msd_radix_sort,86.4,5412.2
reversed,2300,msd_radix_sort_with_quick_sort,41.8,10019.8
reversed,2400,quick_sort,226.4,320836
reversed,2400,merge_sort,812.4,21582
reversed,2400,string_quick_sort,62.2,22333.8
reversed,2400,string_merge_sort,731,21582
reversed,2400,msd_radix_sort,90.8,5659.6
reversed,2400,msd_radix_sort_with_quick_sort,45.8,10577.2
reversed,2500,quick_sort,239.8,344795
reversed,2500,merge_sort,839.8,22723
reversed,2500,string_quick_sort,66,23376.2
reversed,2500,string_merge_sort,761.6,22723
reversed,2500,msd_radix_sort,96,5942.2
reversed,2500,msd_radix_sort_with_quick_sort,47.6,11165.8
reversed,2600,quick_sort,258,367814
reversed,2600,merge_sort,886.4,23844.2
reversed,2600,string_quick_sort,67,24399.8
reversed,2600,string_merge_sort,798.2,23844.2
reversed,2600,msd_radix_sort,103,6213.4
reversed,2600,msd_radix_sort_with_quick_sort,49,11714
reversed,2700,quick_sort,272.6,388018
reversed,2700,merge_sort,921.8,25056.6
reversed,2700,string_quick_sort,73,25505
reversed,2700,string_merge_sort,838.6,25056.6
reversed,2700,msd_radix_sort,122.2,6458
reversed,2700,msd_radix_sort_with_quick_sort,52,12326.6
reversed,2800,quick_sort,289.6,409856
reversed,2800,merge_sort,965.2,26208.6
reversed,2800,string_quick_sort,76.4,26606.4
reversed,2800,string_merge_sort,888.2,26208.6
reversed,2800,msd_radix_sort,115.6,6753.2
reversed,2800,msd_radix_sort_with_quick_sort,56,12898.8
reversed,2900,quick_sort,303.8,431358
reversed,2900,merge_sort,1003.6,27221.4
reversed,2900,string_quick_sort,78.6,27711.8
reversed,2900,string_merge_sort,903.6,27221.4
reversed,2900,msd_radix_sort,124.2,7025.4
reversed,2900,msd_radix_sort_with_quick_sort,58.4,13539.6
reversed,3000,quick_sort,310.2,451983
reversed,3000,merge_sort,1017,28121.8
reversed,3000,string_quick_sort,80.4,28913.4
reversed,3000,string_merge_sort,906.4,28121.8
reversed,3000,msd_radix_sort,121.4,7289.4
reversed,3000,msd_radix_sort_with_quick_sort,60.4,14117.6
almost_sorted,100,quick_sort,9.4,13971
almost_sorted,100,merge_sort,21.6,486.2
almost_sorted,100,string_quick_sort,2,503.2
almost_sorted,100,string_merge_sort,13.6,486.2
almost_sorted,100,msd_radix_sort,4.6,177
almost_sorted,100,msd_radix_sort_with_quick_sort,1,151.2
almost_sorted,200,quick_sort,20.8,26029.6
almost_sorted,200,merge_sort,53.6,1215.2
almost_sorted,200,string_quick_sort,5.2,1224
almost_sorted,200,string_merge_sort,36.6,1215.2
almost_sorted,200,msd_radix_sort,9.8,397.2
almost_sorted,200,msd_radix_sort_with_quick_sort,2.2,387
almost_sorted,300,quick_sort,30.2,38946.6
almost_sorted,300,merge_sort,82.2,2091.2
almost_sorted,300,string_quick_sort,7.4,1981.4
almost_sorted,300,string_merge_sort,64.6,2091.2
almost_sorted,300,msd_radix_sort,12.6,610.2
almost_sorted,300,msd_radix_sort_with_quick_sort,4,669.2
almost_sorted,400,quick_sort,41,55190.4
almost_sorted,400,merge_sort,117,3040.8
almost_sorted,400,string_quick_sort,10.4,2813
almost_sorted,400,string_merge_sort,90.4,3040.8
almost_sorted,400,msd_radix_sort,14.8,822.4
almost_sorted,400,msd_radix_sort_with_quick_sort,5.4,1000
almost_sorted,500,quick_sort,49,61388.8
almost_sorted,500,merge_sort,153.4,4147.4
almost_sorted,500,string_quick_sort,12.8,3637.8
almost_sorted,500,string_merge_sort,118.6,4147.4
almost_sorted,500,msd_radix_sort,18,1048
almost_sorted,500,msd_radix_sort_with_quick_sort,7.4,1361.2
almost_sorted,600,quick_sort,60.6,78277.6
almost_sorted,600,merge_sort,186.6,5217.6
almost_sorted,600,string_quick_sort,15.8,4533.8
almost_sorted,600,string_merge_sort,155.6,5217.6
almost_sorted,600,msd_radix_sort,18.8,1257
almost_sorted,600,msd_radix_sort_with_quick_sort,9.2,1718.6
almost_sorted,700,quick_sort,73.8,97574.4
almost_sorted,700,merge_sort,224.8,6258.4
almost_sorted,700,string_quick_sort,20.2,5414
almost_sorted,700,string_merge_sort,193.4,6258.4
almost_sorted,700,msd_radix_sort,21.8,1480.8
almost_sorted,700,msd_radix_sort_with_quick_sort,11.6,2127
almost_sorted,800,quick_sort,82.2,111599
almost_sorted,800,merge_sort,257.6,7405
almost_sorted,800,string_quick_sort,22.6,6312.8
almost_sorted,800,string_merge_sort,222,7405
almost_sorted,800,msd_radix_sort,24.8,1705
almost_sorted,800,msd_radix_sort_with_quick_sort,13.6,2559.4
almost_sorted,900,quick_sort,89.2,120498
almost_sorted,900,merge_sort,290,8703.6
almost_sorted,900,string_quick_sort,24.6,7340
almost_sorted,900,string_merge_sort,250.8,8703.6
almost_sorted,900,msd_radix_sort,32.2,1953.8
almost_sorted,900,msd_radix_sort_with_quick_sort,16.2,3001.8
almost_sorted,1000,quick_sort,96.8,127610
almost_sorted,1000,merge_sort,336.8,10027.6
almost_sorted,1000,string_quick_sort,29.2,8183.4
almost_sorted,1000,string_merge_sort,294.2,10027.6
almost_sorted,1000,msd_radix_sort,31.4,2165.6
almost_sorted,1000,msd_radix_sort_with_quick_sort,18,3469.6
almost_sorted,1100,quick_sort,106,137785
almost_sorted,1100,merge_sort,367.4,11283.2
almost_sorted,1100,string_quick_sort,32,9133.2
almost_sorted,1100,string_merge_sort,329.2,11283.2
almost_sorted,1100,msd_radix_sort,35.6,2398.6
almost_sorted,1100,msd_radix_sort_with_quick_sort,21.6,3936.2
almost_sorted,1200,quick_sort,119.4,160599
almost_sorted,1200,merge_sort,407.2,12457.6
almost_sorted,1200,string_quick_sort,34.2,10107.6
almost_sorted,1200,string_merge_sort,364,12457.6
almost_sorted,1200,msd_radix_sort,38.8,2651.8
almost_sorted,1200,msd_radix_sort_with_quick_sort,22.8,4416
almost_sorted,1300,quick_sort,142,178848
almost_sorted,1300,merge_sort,448.8,13776.2
almost_sorted,1300,string_quick_sort,42.4,11158.4
almost_sorted,1300,string_merge_sort,394,13776.2
almost_sorted,1300,msd_radix_sort,41.2,2895.8
almost_sorted,1300,msd_radix_sort_with_quick_sort,25.8,4945.2
almost_sorted,1400,quick_sort,147.8,198898
almost_sorted,1400,merge_sort,489.2,15025.2
almost_sorted,1400,string_quick_sort,42.4,12202.8
almost_sorted,1400,string_merge_sort,446.8,15025.2
almost_sorted,1400,msd_radix_sort,45,3125.8
almost_sorted,1400,msd_radix_sort_with_quick_sort,28.4,5451.2
almost_sorted,1500,quick_sort,156.4,211707
almost_sorted,1500,merge_sort,530.6,16512.2
almost_sorted,1500,string_quick_sort,45.6,13138.4
almost_sorted,1500,string_merge_sort,486.2,16512.2
almost_sorted,1500,msd_radix_sort,49,3359.4
almost_sorted,1500,msd_radix_sort_with_quick_sort,30,5964.8
almost_sorted,1600,quick_sort,172.8,231514
almost_sorted,1600,merge_sort,552.8,17894.8
almost_sorted,1600,string_quick_sort,47.6,14073.2
almost_sorted,1600,string_merge_sort,509,17894.8
almost_sorted,1600,msd_radix_sort,54.2,3602.6
almost_sorted,1600,msd_radix_sort_with_quick_sort,32.8,6494
almost_sorted,1700,quick_sort,177.8,238267
almost_sorted,1700,merge_sort,587.8,19309.4
almost_sorted,1700,string_quick_sort,51.8,15308.6
almost_sorted,1700,string_merge_sort,542.8,19309.4
almost_sorted,1700,msd_radix_sort,59.2,3844
almost_sorted,1700,msd_radix_sort_with_quick_sort,35.8,7043.8
almost_sorted,1800,quick_sort,181.6,244130
almost_sorted,1800,merge_sort,633.6,20888.8
almost_sorted,1800,string_quick_sort,55,16471.6
almost_sorted,1800,string_merge_sort,575.6,20888.8
almost_sorted,1800,msd_radix_sort,60.6,4125.6
almost_sorted,1800,msd_radix_sort_with_quick_sort,39.8,7596.8
almost_sorted,1900,quick_sort,186.2,248269
almost_sorted,1900,merge_sort,670.8,22388.4
almost_sorted,1900,string_quick_sort,59.2,17543.8
almost_sorted,1900,string_merge_sort,611.6,22388.4
almost_sorted,1900,msd_radix_sort,65,4359
almost_sorted,1900,msd_radix_sort_with_quick_sort,41.4,8152
almost_sorted,2000,quick_sort,203.2,253668
almost_sorted,2000,merge_sort,699.6,23789.2
almost_sorted,2000,string_quick_sort,60,18533
almost_sorted,2000,string_merge_sort,630.4,23789.2
almost_sorted,2000,msd_radix_sort,70.6,4617
almost_sorted,2000,msd_radix_sort_with_quick_sort,44.4,8706.8
almost_sorted,2100,quick_sort,203.8,271612
almost_sorted,2100,merge_sort,749,25687.4
almost_sorted,2100,string_quick_sort,68.4,19434.8
